date;socialdemokratiet;radikale_venstre;borgerligt_centrum;centrum-demokraterne;det_konservative_folkeparti;nye_borgerlige;fremad;socialistisk_folkeparti;borgernes_parti;liberal_alliance;kristendemokraterne;dansk_folkeparti;kristeligt_folkeparti;moderaterne;venstre;frie_gronne;danmarksdemokraterne;ny_alliance;enhedslisten;alternativet;miljopartiet_fokus;sambandsflokkurin;folkaflokkurin;javnadarflokkurin;tjodveldi;naleraq;inuit_ataqatigiit;siumut;nunatta_qitornai;ufg
2001-11-20;52;9;0;0;16;0;0;12;0;0;0;22;4;0;56;0;0;0;4;0;0;1;0;0;1;0;1;1;0;0
2005-02-08;47;17;0;0;18;0;0;11;0;0;0;24;0;0;52;0;0;0;6;0;0;0;1;0;1;0;1;1;0;0
2007-11-13;45;9;0;0;18;0;0;23;0;0;0;25;0;0;46;0;0;5;4;0;0;1;0;0;1;0;1;1;0;0
2011-09-15;44;17;0;0;8;0;0;16;0;9;0;22;0;0;47;0;0;0;12;0;0;1;0;1;0;0;1;1;0;0
2015-06-18;47;8;0;0;6;0;0;7;0;13;0;37;0;0;34;0;0;0;14;9;0;0;0;1;1;0;1;1;0;0
2019-06-05;48;16;0;0;12;4;0;14;0;4;0;16;0;0;43;0;0;0;13;5;0;1;0;1;0;0;1;1;0;0
2022-11-01;50;7;0;0;10;6;0;15;0;14;0;5;0;16;23;0;14;0;9;6;0;1;0;1;0;0;1;1;0;0
2026-03-24;38;10;0;0;13;0;0;20;4;16;0;16;0;14;18;0;10;0;11;5;0;1;0;1;0;1;1;0;0;0
